source_file,channel_short,date,proposed_label,source_strategy,keyword_hits,text,clean_text,candidate_kind,final_label,final_topic_id,confidence,margin,logreg_top,nb_top,nn_top
codeblog.csv,codeblog,2026-01-14T10:01:30+00:00,ИТ и телекоммуникации,channel_auto_label,,Программисты совсем обленились,программисты совсем обленились,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-05-19T07:10:56+00:00,ИТ и телекоммуникации,channel_auto_label,,[Vitaly](https://t.me/combot/cas?startapp=7084871885) has been banned! Reason: CAS ban.,vitaly has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-05-18T18:42:19+00:00,ИТ и телекоммуникации,channel_auto_label,,[Tamar Fra](https://t.me/combot/cas?startapp=8611542148) has been banned! Reason: CAS ban.,tamar fra has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-04-18T00:20:57+00:00,ИТ и телекоммуникации,channel_auto_label,,[s.aru❤️](https://t.me/combot/cas?startapp=6211064388) has been banned! Reason: CAS ban.,s aru has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-04-06T12:10:46+00:00,ИТ и телекоммуникации,channel_auto_label,,[Жанар](https://t.me/combot/cas?startapp=5111230612) has been banned! Reason: CAS ban.,жанар has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-04-06T00:00:05+00:00,ИТ и телекоммуникации,channel_auto_label,,[Amiko Devadze](https://t.me/combot/cas?startapp=8778656582) has been banned! Reason: CAS ban.,amiko devadze has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-04-02T12:31:28+00:00,ИТ и телекоммуникации,channel_auto_label,,[Nurali02 Кожахметов](https://t.me/combot/cas?startapp=6536815773) has been banned! Reason: CAS ban.,nurali02 кожахметов has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-03-28T22:00:23+00:00,ИТ и телекоммуникации,channel_auto_label,,[Jaloladdin Sultonov](https://t.me/combot/cas?startapp=1359539245) has been banned! Reason: CAS ban.,jaloladdin sultonov has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-03-27T17:20:27+00:00,ИТ и телекоммуникации,channel_auto_label,,[Тахмина](https://t.me/combot/cas?startapp=8143242962) has been banned! Reason: CAS ban.,тахмина has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
devschacht.csv,devschacht,2026-03-24T23:50:07+00:00,ИТ и телекоммуникации,channel_auto_label,,[Альвиан Чусь](https://t.me/combot/cas?startapp=8571640108) has been banned! Reason: CAS ban.,альвиан чусь has been banned reason cas ban,auto,ИТ и телекоммуникации,2,0.60302,0.537393,Развлечения,Искусство и культура,
